Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-08-16,0.0992918591,0.1234086277,0.1264194923,21,100
Market-Adjusted Model,10028,2022-08-16,0.0380116609,0.0807895802,0.0651392941,21,100
Market-Adjusted Model,10032,2022-08-16,-0.000212787,0.0280341128,0.026914846,21,100
Market-Adjusted Model,10044,2022-08-16,-0.016152737,0.0119841338,0.010974896,21,100
Market-Adjusted Model,10051,2022-08-16,0.0064724336,0.0322272931,0.0336000667,21,100
Market-Adjusted Model,10065,2022-08-16,-0.025459402,0.0012702612,0.0016682309,21,100
Market-Adjusted Model,10066,2022-08-16,-0.093749983,-0.06716226,-0.06662235,21,100
Market-Adjusted Model,10104,2022-08-16,-0.042613675,-0.016223006,-0.015486042,21,100
Market-Adjusted Model,10107,2022-08-16,-0.052085697,-0.025285493,-0.024958064,21,100
Market-Adjusted Model,10113,2022-08-16,-0.021739141,0.0046115099,0.0053884918,21,100
Market-Adjusted Model,10138,2022-08-16,-0.032328622,-0.00210519,-0.005200989,21,100
Market-Adjusted Model,10145,2022-08-16,-0.00181554,0.0255366393,0.0253120927,21,100
Market-Adjusted Model,10158,2022-08-16,0.160871807,0.191452672,0.1879994401,21,100
Market-Adjusted Model,10200,2022-08-16,0.0336376064,0.0722814703,0.0607652395,21,100
Market-Adjusted Model,10207,2022-08-16,-0.039312059,-0.012475672,-0.012184425,21,100
Market-Adjusted Model,10220,2022-08-16,-0.072613162,-0.048431321,-0.045485528,21,100
Market-Adjusted Model,10252,2022-08-16,-0.063996137,-0.038983077,-0.036868503,21,100
Market-Adjusted Model,10253,2022-08-16,-0.014448453,0.0198085351,0.0126791797,21,100
Market-Adjusted Model,10257,2022-08-16,-0.100168858,-0.070547804,-0.073041225,21,100
Market-Adjusted Model,10258,2022-08-16,0.0321380494,0.0810085989,0.0592656825,21,100
Market-Adjusted Model,10294,2022-08-16,0.0352744754,0.067238415,0.0624021085,21,100
Market-Adjusted Model,10308,2022-08-16,-0.052172809,-0.026015563,-0.025045176,21,100
Market-Adjusted Model,10318,2022-08-16,0.0489597606,0.0765326593,0.0760873937,21,100
