Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,8/16/2022,0.099291859,0.123408628,0.126419492,21,100
Market-Adjusted Model,10028,8/16/2022,0.038011661,0.08078958,0.065139294,21,100
Market-Adjusted Model,10032,8/16/2022,-0.000212787,0.028034113,0.026914846,21,100
Market-Adjusted Model,10044,8/16/2022,-0.016152737,0.011984134,0.010974896,21,100
Market-Adjusted Model,10051,8/16/2022,0.006472434,0.032227293,0.033600067,21,100
Market-Adjusted Model,10065,8/16/2022,-0.025459402,0.001270261,0.001668231,21,100
Market-Adjusted Model,10066,8/16/2022,-0.093749983,-0.06716226,-0.06662235,21,100
Market-Adjusted Model,10104,8/16/2022,-0.042613675,-0.016223006,-0.015486042,21,100
Market-Adjusted Model,10107,8/16/2022,-0.052085697,-0.025285493,-0.024958064,21,100
Market-Adjusted Model,10113,8/16/2022,-0.021739141,0.00461151,0.005388492,21,100
Market-Adjusted Model,10138,8/16/2022,-0.032328622,-0.00210519,-0.005200989,21,100
Market-Adjusted Model,10145,8/16/2022,-0.00181554,0.025536639,0.025312093,21,100
Market-Adjusted Model,10158,8/16/2022,0.160871807,0.191452672,0.18799944,21,100
Market-Adjusted Model,10200,8/16/2022,0.033637606,0.07228147,0.06076524,21,100
Market-Adjusted Model,10207,8/16/2022,-0.039312059,-0.012475672,-0.012184425,21,100
Market-Adjusted Model,10220,8/16/2022,-0.072613162,-0.048431321,-0.045485528,21,100
Market-Adjusted Model,10252,8/16/2022,-0.063996137,-0.038983077,-0.036868503,21,100
Market-Adjusted Model,10253,8/16/2022,-0.014448453,0.019808535,0.01267918,21,100
Market-Adjusted Model,10257,8/16/2022,-0.100168858,-0.070547804,-0.073041225,21,100
Market-Adjusted Model,10258,8/16/2022,0.032138049,0.081008599,0.059265683,21,100
Market-Adjusted Model,10294,8/16/2022,0.035274475,0.067238415,0.062402109,21,100
Market-Adjusted Model,10308,8/16/2022,-0.052172809,-0.026015563,-0.025045176,21,100
Market-Adjusted Model,10318,8/16/2022,0.048959761,0.076532659,0.076087394,21,100
Market-Adjusted Model,10333,8/16/2022,-0.155730583,-0.128877275,-0.128602949,21,100
Market-Adjusted Model,10355,8/16/2022,-0.027480997,0.002395794,-0.000353364,21,100
Market-Adjusted Model,10382,8/16/2022,-0.209267106,-0.190661954,-0.182139473,21,100
Market-Adjusted Model,10397,8/16/2022,-0.042830548,-0.014574785,-0.015702915,21,100
Market-Adjusted Model,10421,8/16/2022,-0.107098915,-0.079583761,-0.079971282,21,100
Market-Adjusted Model,10443,8/16/2022,-0.013739146,0.012995625,0.013388487,21,100
Market-Adjusted Model,10463,8/16/2022,0.432790778,0.411954492,0.459918411,21,100
Market-Adjusted Model,10501,8/16/2022,0.028436886,0.066771273,0.055564519,21,100
Market-Adjusted Model,10514,8/16/2022,-0.033088237,0.603422132,-0.005960604,21,100
Market-Adjusted Model,10516,8/16/2022,0.044084639,0.071118622,0.071212272,21,100
Market-Adjusted Model,10517,8/16/2022,-0.002620506,0.039795558,0.024507128,21,100
Market-Adjusted Model,10530,8/16/2022,0.030875912,0.057319299,0.058003545,21,100
Market-Adjusted Model,10547,8/16/2022,0.230482151,0.243655293,0.257609784,21,100
Market-Adjusted Model,10550,8/16/2022,0.233766265,0.239097824,0.260893898,21,100
Market-Adjusted Model,10606,8/16/2022,0.018607629,0.049844138,0.045735262,21,100
Market-Adjusted Model,10629,8/16/2022,0.010050322,0.037436354,0.037177955,21,100
Market-Adjusted Model,10645,8/16/2022,-0.138257609,-0.120030674,-0.111129976,21,100
Market-Adjusted Model,10649,8/16/2022,-0.143886959,-0.123051378,-0.116759326,21,100
Market-Adjusted Model,10661,8/16/2022,-0.222190518,-0.206098975,-0.195062884,21,100
Market-Adjusted Model,10693,8/16/2022,-0.036101758,-0.007409388,-0.008974125,21,100
Market-Adjusted Model,10696,8/16/2022,-0.040233649,-0.01337719,-0.013106016,21,100
Market-Adjusted Model,10777,8/16/2022,0.066878693,0.09210239,0.094006326,21,100
Market-Adjusted Model,10779,8/16/2022,-0.191335732,-0.171798517,-0.164208099,21,100
Market-Adjusted Model,10781,8/16/2022,-0.028189514,0.000686701,-0.001061881,21,100
Market-Adjusted Model,10812,8/16/2022,-0.027215209,0.000760608,-0.000087576,21,100
Market-Adjusted Model,10860,8/16/2022,0.365448574,0.389349173,0.392576207,21,100
Market-Adjusted Model,10866,8/16/2022,-0.018940924,0.028977476,0.008186709,21,100
Market-Adjusted Model,10874,8/16/2022,-0.042967518,-0.012656066,-0.015839885,21,100
Market-Adjusted Model,10886,8/16/2022,-0.216783187,-0.175659644,-0.189655554,21,100
Market-Adjusted Model,10890,8/16/2022,-0.308714946,-0.321383077,-0.281587313,21,100
Market-Adjusted Model,10892,8/16/2022,0.032299492,0.05894177,0.059427125,21,100
Market-Adjusted Model,10901,8/16/2022,0.009204944,0.045936136,0.036332577,21,100
Market-Adjusted Model,10932,8/16/2022,0.021433247,0.049783405,0.048560881,21,100
Market-Adjusted Model,10933,8/16/2022,-0.066403591,-0.040143662,-0.039275958,21,100
Market-Adjusted Model,10952,8/16/2022,-0.000344717,-0.00870069,-0.007768631,15,100
Market-Adjusted Model,10966,8/16/2022,-0.051282057,-0.007173046,-0.024154423,21,100
Market-Adjusted Model,11006,8/16/2022,-0.015376504,0.011743861,0.011751129,21,100
Market-Adjusted Model,11018,8/16/2022,-0.025010865,0.003253621,0.002116768,21,100
Market-Adjusted Model,11043,8/16/2022,0.042820667,0.068825595,0.0699483,21,100
Market-Adjusted Model,11144,8/16/2022,-0.140076162,-0.080812363,-0.112948529,21,100
Market-Adjusted Model,11153,8/16/2022,-0.001819899,0.041012989,0.025307734,21,100
Market-Adjusted Model,11154,8/16/2022,-0.304929034,-0.282401429,-0.277801401,21,100
Market-Adjusted Model,11174,8/16/2022,-0.220340637,-0.173220566,-0.193213003,21,100
Market-Adjusted Model,11203,8/16/2022,-0.362441339,-0.38805296,-0.335313706,21,100
Market-Adjusted Model,11208,8/16/2022,0.00220101,0.030274426,0.029328643,21,100
Market-Adjusted Model,11264,8/16/2022,-0.062314551,0.012353876,-0.035186918,21,100
Market-Adjusted Model,11267,8/16/2022,-0.11252992,-0.084352043,-0.085402287,21,100
Market-Adjusted Model,11275,8/16/2022,-0.027559034,0.006004301,-0.000431401,21,100
Market-Adjusted Model,11285,8/16/2022,-0.007573779,0.021136249,0.019553855,21,100
Market-Adjusted Model,11292,8/16/2022,-0.177718557,-0.163517004,-0.150590924,21,100
Market-Adjusted Model,11293,8/16/2022,0.001751868,0.028718654,0.028879501,21,100
Market-Adjusted Model,11308,8/16/2022,-0.036732721,-0.010853986,-0.009605088,21,100
Market-Adjusted Model,11368,8/16/2022,0.161758562,0.189395089,0.188886195,21,100
Market-Adjusted Model,11369,8/16/2022,-0.044517933,-0.018227585,-0.0173903,21,100
Market-Adjusted Model,11370,8/16/2022,-0.063500308,-0.035486267,-0.036372675,21,100
Market-Adjusted Model,11379,8/16/2022,0.435523092,0.41703421,0.462650725,21,100
Market-Adjusted Model,11394,8/16/2022,-0.046982725,0.000599403,-0.019855092,21,100
Market-Adjusted Model,11397,8/16/2022,-0.049380399,-0.023855111,-0.022252766,21,100
Market-Adjusted Model,11403,8/16/2022,-0.058419791,-0.032489931,-0.031292158,21,100
Market-Adjusted Model,11404,8/16/2022,0.007590928,0.033772214,0.034718562,21,100
Market-Adjusted Model,11407,8/16/2022,-0.010997773,0.017147514,0.01612986,21,100
Market-Adjusted Model,11442,8/16/2022,-0.016726318,0.009944402,0.010401315,21,100
Market-Adjusted Model,11481,8/16/2022,0.153034277,0.202246886,0.18016191,21,100
Market-Adjusted Model,11499,8/16/2022,0.275949339,0.282497993,0.303076972,21,100
Market-Adjusted Model,11511,8/16/2022,-0.094182799,-0.054398248,-0.067055166,21,100
Market-Adjusted Model,11533,8/16/2022,-0.010570924,0.017813608,0.016556709,21,100
Market-Adjusted Model,11547,8/16/2022,-0.085579565,-0.057872104,-0.058451932,21,100
Market-Adjusted Model,11565,8/16/2022,0.002089911,0.029357351,0.029217544,21,100
Market-Adjusted Model,11581,8/16/2022,-0.03091262,-0.002278333,-0.003784987,21,100
Market-Adjusted Model,11587,8/16/2022,-0.11344994,-0.090133764,-0.086322307,21,100
Market-Adjusted Model,11593,8/16/2022,-0.021464653,0.005316931,0.00566298,21,100
